"id","trade_date","trade_action","predicted_price","final_portfolio_value","created_at"
53,"2024-04-16","HOLD","171.75","100692.48598243958","2025-01-09 20:52:10.603487"
54,"2024-04-17","BUY","169.61000061035156","99443.59691445048","2025-01-09 20:52:10.603487"
55,"2024-04-18","BUY","168.02999877929688","98520.20579911815","2025-01-09 20:52:10.603487"
56,"2024-04-19","HOLD","166.2100067138672","97455.6001777254","2025-01-09 20:52:10.603487"
57,"2024-04-22","HOLD","165.52000427246094","97051.98277089765","2025-01-09 20:52:10.603487"
58,"2024-04-23","HOLD","165.35000610351562","96952.54222402751","2025-01-09 20:52:10.603487"
59,"2024-04-24","HOLD","166.5399932861328","97648.62605211853","2025-01-09 20:52:10.603487"
60,"2024-04-25","BUY","169.52999877929688","99397.56255739577","2025-01-09 20:52:10.603487"
61,"2024-04-26","BUY","169.8800048828125","99602.39343181107","2025-01-09 20:52:10.603487"
62,"2024-04-29","BUY","173.3699951171875","101646.2538910049","2025-01-09 20:52:10.603487"
63,"2024-04-30","HOLD","173.3300018310547","101622.82420929911","2025-01-09 20:52:10.603487"
64,"2024-05-01","HOLD","169.5800018310547","99425.9228067743","2025-01-09 20:52:10.603487"
65,"2024-05-02","BUY","172.50999450683594","101142.40707845762","2025-01-09 20:52:10.603487"
66,"2024-05-03","HOLD","186.64999389648438","109428.13494193161","2025-01-09 20:52:10.603487"
67,"2024-05-06","HOLD","182.35000610351562","106908.43690751147","2025-01-09 20:52:10.603487"
68,"2024-05-07","HOLD","183.4499969482422","107553.0072883553","2025-01-09 20:52:10.603487"
69,"2024-05-08","HOLD","182.85000610351562","107201.42588279882","2025-01-09 20:52:10.603487"
70,"2024-05-09","HOLD","182.55999755859375","107031.48726999635","2025-01-09 20:52:10.603487"
71,"2024-05-10","HOLD","184.89999389648438","108402.67352842585","2025-01-09 20:52:10.603487"
72,"2024-05-13","HOLD","185.44000244140625","108719.106628872","2025-01-09 20:52:10.603487"
73,"2024-05-14","HOLD","187.50999450683594","109932.07633707843","2025-01-09 20:52:10.603487"
74,"2024-05-15","HOLD","187.91000366210938","110166.47288209668","2025-01-09 20:52:10.603487"
75,"2024-05-16","HOLD","190.47000122070312","111666.57500495775","2025-01-09 20:52:10.603487"
76,"2024-05-17","HOLD","189.50999450683594","111104.03223822787","2025-01-09 20:52:10.603487"
77,"2024-05-20","HOLD","189.3300018310547","110998.56049895512","2025-01-09 20:52:10.603487"
78,"2024-05-21","HOLD","191.08999633789062","112029.8784730936","2025-01-09 20:52:10.603487"
79,"2024-05-22","HOLD","192.27000427246094","112721.33710425503","2025-01-09 20:52:10.603487"
80,"2024-05-23","HOLD","190.97999572753906","111965.42054087784","2025-01-09 20:52:10.603487"
81,"2024-05-24","HOLD","188.82000732421875","110699.71496303503","2025-01-09 20:52:10.603487"
82,"2024-05-28","HOLD","191.50999450683594","112275.98813937731","2025-01-09 20:52:10.603487"
83,"2024-05-29","HOLD","189.61000061035156","111162.63360981092","2025-01-09 20:52:10.603487"
84,"2024-05-30","HOLD","190.75999450683594","111836.50467644627","2025-01-09 20:52:10.603487"
